Feature,human,gpt
pos_bigrams:ADV NUM,-0.16999754427731034,0.16999754427731034
pos_bigrams:NUM ADV,-0.12150908745605078,0.12150908745605078
pos_bigrams:ADV PART,-0.0794363437990314,0.0794363437990314
pos_bigrams:PART ADV,0.3362437718103553,-0.3362437718103553
pos_bigrams:ADV PRON,-0.22545110962326828,0.22545110962326828
pos_bigrams:PRON ADV,0.07795583259039383,-0.07795583259039383
pos_bigrams:ADV PROPN,-0.0430704046702898,0.0430704046702898
pos_bigrams:PROPN ADV,-0.1431756633279168,0.1431756633279168
pos_bigrams:ADV PUNCT,0.45635547443171937,-0.45635547443171937
pos_bigrams:PUNCT ADV,0.08207851019688064,-0.08207851019688064
pos_bigrams:ADV SCONJ,-0.005171667306347266,0.005171667306347266
pos_bigrams:SCONJ ADV,0.10832314665401627,-0.10832314665401627
pos_bigrams:ADV SYM,0.06319569405804758,-0.06319569405804758
pos_bigrams:SYM ADV,-0.00046704830183381024,0.00046704830183381024
pos_bigrams:ADV VERB,0.009177391001668537,-0.009177391001668537
pos_bigrams:VERB ADV,0.01167358719093469,-0.01167358719093469
pos_bigrams:ADV X,0.21867919292701382,-0.21867919292701382
pos_bigrams:X ADV,0.004809114752835968,-0.004809114752835968
pos_bigrams:ADV SPACE,-0.0,0.0
pos_bigrams:SPACE ADV,-0.0,0.0
pos_bigrams:AUX CCONJ,0.1672681014895655,-0.1672681014895655
pos_bigrams:CCONJ AUX,-0.05555924189092454,0.05555924189092454
pos_bigrams:AUX DET,0.2034580380320833,-0.2034580380320833
pos_bigrams:DET AUX,-0.024473188150106427,0.024473188150106427
pos_bigrams:AUX INTJ,0.01096196093926789,-0.01096196093926789
pos_bigrams:INTJ AUX,-0.12146879551260785,0.12146879551260785
pos_bigrams:AUX NOUN,-0.15393409624273457,0.15393409624273457
pos_bigrams:NOUN AUX,0.03882472526786091,-0.03882472526786091
pos_bigrams:AUX NUM,-0.10210887991833976,0.10210887991833976
pos_bigrams:NUM AUX,-0.12056151327100967,0.12056151327100967
pos_bigrams:AUX PART,-0.28118710053904816,0.28118710053904816
pos_bigrams:PART AUX,-0.12633318148189374,0.12633318148189374
pos_bigrams:AUX PRON,0.07168895049384985,-0.07168895049384985
pos_bigrams:PRON AUX,-0.14048815738753462,0.14048815738753462
pos_bigrams:AUX PROPN,-0.3458894327571413,0.3458894327571413
pos_bigrams:PROPN AUX,0.1349570675701098,-0.1349570675701098
pos_bigrams:AUX PUNCT,0.02478507678124941,-0.02478507678124941
pos_bigrams:PUNCT AUX,0.12026386285128307,-0.12026386285128307
pos_bigrams:AUX SCONJ,-0.0008577022552162267,0.0008577022552162267
pos_bigrams:SCONJ AUX,-0.19662911859798704,0.19662911859798704
pos_bigrams:AUX SYM,-0.03265291894064753,0.03265291894064753
pos_bigrams:SYM AUX,0.011442816074123854,-0.011442816074123854
pos_bigrams:AUX VERB,-0.07562918300247179,0.07562918300247179
pos_bigrams:VERB AUX,0.1089682946782588,-0.1089682946782588
pos_bigrams:AUX X,0.06558144659069512,-0.06558144659069512
pos_bigrams:X AUX,0.06875884261376657,-0.06875884261376657
pos_bigrams:AUX SPACE,-0.0,0.0
