Feature,gpt,human
pos_bigrams:PUNCT SCONJ,-0.1120975509796688,0.1120975509796688
func_words:impossible,0.11153476939222,-0.11153476939222
pos_bigrams:NOUN PRON,0.1115072524221151,-0.1115072524221151
dep_labels:ccomp,-0.1109715683720731,0.1109715683720731
func_words:now,-0.11062773653765,0.11062773653765
func_words:above,-0.1104268986288407,0.1104268986288407
pos_bigrams:CCONJ PART,-0.1101215305442864,0.1101215305442864
pos_bigrams:PRON NOUN,0.1098100966966485,-0.1098100966966485
dep_labels:poss,0.1092249682770493,-0.1092249682770493
func_words:what,0.1091673243815428,-0.1091673243815428
pos_bigrams:VERB AUX,0.1089682946782588,-0.1089682946782588
pos_bigrams:SCONJ ADV,0.1083231466540162,-0.1083231466540162
func_words:okay,-0.1079770878286465,0.1079770878286465
pos_bigrams:ADP INTJ,-0.1075859047725868,0.1075859047725868
morph_tags:NumType=Ord,0.1074906582542032,-0.1074906582542032
dep_labels:acomp,0.1073298220902929,-0.1073298220902929
letters:V,-0.1065693057681788,0.1065693057681788
pos_bigrams:X X,-0.1053167945606234,0.1053167945606234
letters:v,0.1048321640512819,-0.1048321640512819
pos_bigrams:NOUN INTJ,0.1048041892157804,-0.1048041892157804
pos_bigrams:DET INTJ,-0.1023165823050007,0.1023165823050007
func_words:small,0.1022173351496805,-0.1022173351496805
pos_bigrams:AUX NUM,-0.1021088799183397,0.1021088799183397
func_words:not,-0.1013913046424772,0.1013913046424772
pos_bigrams:INTJ CCONJ,0.101350145318887,-0.101350145318887
pos_bigrams:PART ADP,0.1008813761964041,-0.1008813761964041
func_words:possible,-0.1004268934541859,0.1004268934541859
letters:j,0.0994480045079086,-0.0994480045079086
morph_tags:Gender=Masc,-0.0991965279553956,0.0991965279553956
func_words:last,-0.0987716652856888,0.0987716652856888
morph_tags:PronType=Rel,0.0981021393398121,-0.0981021393398121
func_words:big,-0.0980694850103002,0.0980694850103002
pos_bigrams:PROPN VERB,-0.0978920656105755,0.0978920656105755
func_words:outside,-0.0977406183977515,0.0977406183977515
pos_bigrams:INTJ X,-0.0976888027660112,0.0976888027660112
pos_bigrams:PRON DET,-0.0976268667573076,0.0976268667573076
pos_bigrams:ADJ AUX,-0.0962816604623203,0.0962816604623203
pos_bigrams:NUM VERB,0.0961206349669912,-0.0961206349669912
morph_tags:Person=1,-0.0956909489192966,0.0956909489192966
pos_bigrams:CCONJ ADV,0.09523858874963,-0.09523858874963
