Feature,human,gpt
pos_unigrams:PUNCT,0.21483974389381372,-0.21483974389381372
pos_bigrams:SCONJ AUX,0.21465805580889274,-0.21465805580889274
pos_bigrams:NUM NUM,0.21417782043028732,-0.21417782043028732
func_words:but,-0.21379008763741505,0.21379008763741505
func_words:from,0.21262171259766674,-0.21262171259766674
func_words:main,0.21220069921579038,-0.21220069921579038
pos_bigrams:ADP ADP,0.21217682836425464,-0.21217682836425464
morph_tags:PronType=Art,0.20964955061555204,-0.20964955061555204
pos_bigrams:NOUN VERB,-0.20802999550760454,0.20802999550760454
dep_labels:punct,0.2076660132070583,-0.2076660132070583
morph_tags:Person=3,0.20765313554252618,-0.20765313554252618
func_words:major,0.20685670954210272,-0.20685670954210272
func_words:he,0.20605669019625775,-0.20605669019625775
pos_bigrams:PUNCT PRON,-0.2059770263040393,0.2059770263040393
pos_bigrams:PRON AUX,0.20542523162406967,-0.20542523162406967
func_words:wrong,0.20498944555046006,-0.20498944555046006
func_words:no,0.2045418976966492,-0.2045418976966492
pos_bigrams:PUNCT DET,-0.20405535447822493,0.20405535447822493
dep_labels:compound,0.2008758530587675,-0.2008758530587675
pos_unigrams:PRON,0.19981609846996082,-0.19981609846996082
morph_tags:PunctType=Brck,0.19981418998729003,-0.19981418998729003
pos_bigrams:PUNCT X,0.1971279485645541,-0.1971279485645541
func_words:only,0.19517507115055882,-0.19517507115055882
func_words:important,0.19359583407621783,-0.19359583407621783
func_words:against,-0.1934807834423606,0.1934807834423606
func_words:must,-0.19310312272421318,0.19310312272421318
func_words:below,0.19295937355696502,-0.19295937355696502
pos_bigrams:SCONJ PUNCT,0.19267184269120383,-0.19267184269120383
dep_labels:neg,0.191111103417239,-0.191111103417239
morph_tags:Definite=Def,0.19063654204876154,-0.19063654204876154
func_words:and,0.1905434660565278,-0.1905434660565278
func_words:difficult,0.19020909206113554,-0.19020909206113554
morph_tags:Case=Nom,0.18954777995040678,-0.18954777995040678
func_words:she,0.18642562429860485,-0.18642562429860485
pos_bigrams:ADV PRON,0.18626340183244947,-0.18626340183244947
func_words:ever,-0.18610324408392562,0.18610324408392562
pos_unigrams:AUX,0.18592834205858155,-0.18592834205858155
morph_tags:PunctSide=Ini,0.1858610764939441,-0.1858610764939441
pos_bigrams:ADJ CCONJ,0.18350489000781348,-0.18350489000781348
pos_bigrams:AUX ADJ,-0.18349973861931315,0.18349973861931315
func_words:so,0.18235695252181602,-0.18235695252181602
pos_unigrams:ADP,0.17937710541394813,-0.17937710541394813
func_words:about,-0.17895041807635637,0.17895041807635637
pos_bigrams:PROPN PUNCT,0.1783627156803964,-0.1783627156803964
sentences:subj-relcl,-0.17828638190939455,0.17828638190939455
func_words:of,0.17809240558450298,-0.17809240558450298
func_words:in,0.17785141724768366,-0.17785141724768366
func_words:previous,0.17758132541395308,-0.17758132541395308
pos_bigrams:CCONJ PRON,0.17324288618643344,-0.17324288618643344
func_words:beyond,-0.17309597372314234,0.17309597372314234
func_words:her,0.17267928196473445,-0.17267928196473445
dep_labels:pobj,0.17144149553313504,-0.17144149553313504
dep_labels:csubj,-0.17109626159799343,0.17109626159799343
pos_bigrams:ADJ PROPN,0.17095811065301642,-0.17095811065301642
morph_tags:Gender=Neut,-0.1699019865995027,0.1699019865995027
func_words:myself,-0.16894168042827307,0.16894168042827307
